date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:33	10946/10946	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20May%202025%2021:07:32%20GMT	https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/login/loginForm2d39.html	(from )
21:07:33	79/79	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20May%202025%2021:07:33%20GMT	https://ndceg.com/robots.txt		(from )
21:07:34	501/501	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202025%2020:38:30%20GMT	https://ndceg.com/odeysysportal/static/css/integrated.css	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/css/integrated.css	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:34	106522/106522	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202025%2020:38:30%20GMT	https://ndceg.com/odeysysportal/static/css/main.css	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/css/main.css	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:34	40015/40015	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202025%2020:38:30%20GMT	https://ndceg.com/odeysysportal/static/css/company.css	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/css/company.css	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:34	26227/26227	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cee-6673%22	https://cdnjs.cloudflare.com/ajax/libs/Detect.js/2.2.2/detect.min.js	F:/New%20folder/Fakelogin/cdnjs.cloudflare.com/ajax/libs/Detect.js/2.2.2/detect.min.js	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:34	48316/48316	---M-Z	200	added ('OK')	application/javascript	etag:%2261182885-40eb%22	https://cdnjs.cloudflare.com/ajax/libs/crypto-js/4.1.1/crypto-js.min.js	F:/New%20folder/Fakelogin/cdnjs.cloudflare.com/ajax/libs/crypto-js/4.1.1/crypto-js.min.js	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:35	18952/18952	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/images/logo-new.png	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/images/logo-new.png	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:35	70540/70540	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/images/login.png	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/images/login.png	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:36	13445/13445	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20May%202025%2021:07:36%20GMT	https://ndceg.com/odeysysportal/login/contactUs	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/login/contactUs.html	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:37	969322/969322	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20May%202025%2021:07:36%20GMT	https://ndceg.com/odeysysportal/login/registerForm	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/login/registerForm.html	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:37	673/673	---M--	200	added ('OK')	image/gif	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/images/send.gif	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/images/send.gif	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:37	1775/1775	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/js/integrated.js	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/js/integrated.js	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:37	23076/23076	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/js/company.js	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/js/company.js	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:38	11466/11466	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/js/login.js	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/js/login.js	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:38	786/786	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20May%202025%2021:07:38%20GMT	https://sealserver.trustwave.com/seal.js?code=04bee9f0c1514e67839da32078eecbc2	F:/New%20folder/Fakelogin/sealserver.trustwave.com/seal37a8.js	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:39	38285/38285	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/js/fingerprint-v4.js	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/js/fingerprint-v4.js	(from https://ndceg.com/odeysysportal/login/loginForm?isCoreSystem=true)
21:07:39	146553/146553	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202025%2020:38:30%20GMT	https://ndceg.com/odeysysportal/static/css/vendor/bootstrap.css	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/css/vendor/bootstrap.css	(from https://ndceg.com/odeysysportal/static/css/integrated.css)
21:07:39	30774/30774	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202025%2020:38:30%20GMT	https://ndceg.com/odeysysportal/static/css/vendor/jquery-ui.min.css	F:/New%20folder/Fakelogin/ndceg.com/odeysysportal/static/css/vendor/jquery-ui.min.css	(from https://ndceg.com/odeysysportal/static/css/integrated.css)
